text,normalized
$ 123 dollars,Mr. Smith
$ 123 dollars,10.5 %
$ 123 dollars,Mr. Smith
10.5 %,Mr. Smith
Mr. Smith,10.5 %
10.5 %,10.5 %
10.5 %,Mr. Smith
$ 123 dollars,10.5 %
$ 123 dollars,$ 123 $
10.5 %,Mr. Smith
Mr. Smith,$ 123 $
$ 123 dollars,10.5 %
$ 123 dollars,10.5 %
$ 123 dollars,10.5 %
$ 123 dollars,10.5 %
Mr. Smith,10.5 %
Mr. Smith,Mr. Smith
$ 123 dollars,10.5 %
Mr. Smith,$ 123 $
Mr. Smith,10.5 %
Mr. Smith,10.5 %
$ 123 dollars,10.5 %
$ 123 dollars,$ 123 $
Mr. Smith,10.5 %
$ 123 dollars,Mr. Smith
10.5 %,$ 123 $
$ 123 dollars,10.5 %
$ 123 dollars,10.5 %
10.5 %,Mr. Smith
Mr. Smith,$ 123 $
Mr. Smith,Mr. Smith
10.5 %,$ 123 $
$ 123 dollars,$ 123 $
$ 123 dollars,Mr. Smith
10.5 %,Mr. Smith
Mr. Smith,$ 123 $
$ 123 dollars,$ 123 $
10.5 %,Mr. Smith
10.5 %,Mr. Smith
$ 123 dollars,10.5 %
10.5 %,10.5 %
10.5 %,10.5 %
10.5 %,10.5 %
$ 123 dollars,Mr. Smith
$ 123 dollars,Mr. Smith
10.5 %,$ 123 $
$ 123 dollars,Mr. Smith
Mr. Smith,$ 123 $
Mr. Smith,Mr. Smith
10.5 %,$ 123 $
Mr. Smith,Mr. Smith
10.5 %,Mr. Smith
10.5 %,10.5 %
10.5 %,Mr. Smith
10.5 %,$ 123 $
10.5 %,$ 123 $
$ 123 dollars,Mr. Smith
$ 123 dollars,$ 123 $
10.5 %,10.5 %
Mr. Smith,$ 123 $
10.5 %,$ 123 $
$ 123 dollars,10.5 %
10.5 %,Mr. Smith
10.5 %,$ 123 $
10.5 %,Mr. Smith
10.5 %,10.5 %
Mr. Smith,$ 123 $
Mr. Smith,$ 123 $
10.5 %,$ 123 $
10.5 %,Mr. Smith
Mr. Smith,Mr. Smith
$ 123 dollars,10.5 %
Mr. Smith,$ 123 $
Mr. Smith,$ 123 $
Mr. Smith,10.5 %
Mr. Smith,$ 123 $
10.5 %,$ 123 $
Mr. Smith,Mr. Smith
Mr. Smith,Mr. Smith
Mr. Smith,Mr. Smith
10.5 %,Mr. Smith
Mr. Smith,Mr. Smith
10.5 %,10.5 %
$ 123 dollars,10.5 %
$ 123 dollars,Mr. Smith
10.5 %,Mr. Smith
10.5 %,$ 123 $
$ 123 dollars,Mr. Smith
$ 123 dollars,10.5 %
Mr. Smith,10.5 %
10.5 %,10.5 %
Mr. Smith,Mr. Smith
Mr. Smith,10.5 %
10.5 %,Mr. Smith
Mr. Smith,Mr. Smith
10.5 %,$ 123 $
$ 123 dollars,Mr. Smith
$ 123 dollars,$ 123 $
10.5 %,$ 123 $
$ 123 dollars,10.5 %
$ 123 dollars,$ 123 $
$ 123 dollars,Mr. Smith
Mr. Smith,10.5 %
Mr. Smith,10.5 %
Mr. Smith,Mr. Smith
10.5 %,Mr. Smith
Mr. Smith,10.5 %
$ 123 dollars,$ 123 $
10.5 %,Mr. Smith
10.5 %,Mr. Smith
Mr. Smith,10.5 %
$ 123 dollars,Mr. Smith
Mr. Smith,Mr. Smith
Mr. Smith,Mr. Smith
Mr. Smith,Mr. Smith
Mr. Smith,$ 123 $
10.5 %,$ 123 $
10.5 %,$ 123 $
$ 123 dollars,10.5 %
10.5 %,10.5 %
Mr. Smith,$ 123 $
10.5 %,10.5 %
10.5 %,$ 123 $
10.5 %,$ 123 $
10.5 %,$ 123 $
Mr. Smith,Mr. Smith
Mr. Smith,$ 123 $
10.5 %,$ 123 $
Mr. Smith,Mr. Smith
10.5 %,10.5 %
$ 123 dollars,10.5 %
$ 123 dollars,Mr. Smith
Mr. Smith,Mr. Smith
10.5 %,$ 123 $
10.5 %,10.5 %
Mr. Smith,Mr. Smith
$ 123 dollars,$ 123 $
Mr. Smith,Mr. Smith
$ 123 dollars,10.5 %
$ 123 dollars,Mr. Smith
Mr. Smith,Mr. Smith
$ 123 dollars,10.5 %
$ 123 dollars,Mr. Smith
10.5 %,$ 123 $
10.5 %,Mr. Smith
$ 123 dollars,10.5 %
Mr. Smith,Mr. Smith
Mr. Smith,10.5 %
10.5 %,Mr. Smith
$ 123 dollars,$ 123 $
$ 123 dollars,Mr. Smith
10.5 %,Mr. Smith
$ 123 dollars,$ 123 $
$ 123 dollars,Mr. Smith
Mr. Smith,Mr. Smith
10.5 %,$ 123 $
Mr. Smith,Mr. Smith
$ 123 dollars,Mr. Smith
Mr. Smith,Mr. Smith
Mr. Smith,10.5 %
10.5 %,Mr. Smith
$ 123 dollars,10.5 %
10.5 %,$ 123 $
$ 123 dollars,10.5 %
Mr. Smith,10.5 %
$ 123 dollars,Mr. Smith
Mr. Smith,$ 123 $
$ 123 dollars,Mr. Smith
10.5 %,10.5 %
Mr. Smith,Mr. Smith
$ 123 dollars,10.5 %
$ 123 dollars,$ 123 $
